iter	Passed	Remaining
925	93515	7473
926	93626	7372
927	93786	7276
928	93880	7174
929	93963	7072
930	94056	6970
931	94182	6871
932	94322	6773
933	94476	6676
934	94754	6587
935	95453	6526
936	96244	6471
937	96539	6381
938	96735	6284
939	96873	6183
940	97218	6095
941	97660	6013
942	97928	5919
943	98129	5821
944	98333	5723
945	98517	5623
946	98690	5523
947	98960	5428
948	99228	5332
949	99490	5236
950	99779	5141
951	100160	5050
952	100511	4957
953	100799	4860
954	101077	4762
955	101359	4665
956	101543	4562
957	101762	4461
958	101937	4358
959	102165	4256
960	102412	4156
961	102632	4054
962	102900	3953
963	103157	3852
964	103278	3745
965	103390	3638
966	103493	3531
967	103661	3426
968	103818	3321
969	103958	3215
970	104097	3109
971	104263	3003
972	104547	2901
973	104887	2799
974	105120	2695
975	105299	2589
976	105608	2486
977	105840	2380
978	106003	2273
979	106209	2167
980	106380	2060
981	106546	1952
982	106800	1846
983	107000	1739
984	107153	1631
985	107319	1523
986	107570	1416
987	107889	1310
988	108222	1203
989	108430	1095
990	108594	986
991	108808	877
992	108974	768
993	109208	659
994	109487	550
995	109865	441
996	110109	331
997	110357	221
998	110623	110
999	110910	0
